Subtotal,city,city_ascii,state_id,lat,lng
,Noorvik,Noorvik,AK,66.8292,-161.0376
,North Pole,North Pole,AK,64.753,-147.36
,Northway,Northway,AK,62.9479,-141.8322
,Nuiqsut,Nuiqsut,AK,70.2135,-150.9897
,Nulato,Nulato,AK,64.7052,-158.2383
,Nunam Iqua,Nunam Iqua,AK,62.511,-164.8998
,Nunapitchuk,Nunapitchuk,AK,60.8772,-162.4615
,Old Harbor,Old Harbor,AK,57.2169,-153.3252
,Oscarville,Oscarville,AK,60.7288,-161.7728
,Ouzinkie,Ouzinkie,AK,57.9222,-152.4674
,Palmer,Palmer,AK,61.5971,-149.1147
,Pedro Bay,Pedro Bay,AK,59.7822,-154.1236
,Pelican,Pelican,AK,57.9577,-136.2177
,Perryville,Perryville,AK,55.9315,-159.1559
,Petersburg,Petersburg,AK,56.7566,-132.8727
,Pilot Point,Pilot Point,AK,57.5585,-157.6798
,Pilot Station,Pilot Station,AK,61.9422,-162.8828
,Pitkas Point,Pitkas Point,AK,62.0374,-163.2681
,Platinum,Platinum,AK,58.978,-161.7185
,Pleasant Valley,Pleasant Valley,AK,64.8855,-146.8986
,Point Hope,Point Hope,AK,68.3445,-166.6738
,Point Lay,Point Lay,AK,69.7442,-162.8678
,Point MacKenzie,Point MacKenzie,AK,61.3463,-150.0787
,Port Alexander,Port Alexander,AK,56.2346,-134.6532
,Port Alsworth,Port Alsworth,AK,60.1688,-154.3233
,Port Clarence,Port Clarence,AK,65.1108,-166.7683
,Port Graham,Port Graham,AK,59.34,-151.8464
,Port Heiden,Port Heiden,AK,56.9426,-158.6047
,Port Lions,Port Lions,AK,57.8754,-152.8745
,Portage Creek,Portage Creek,AK,58.9051,-157.6695
,Primrose,Primrose,AK,60.3497,-149.3199
,Prudhoe Bay,Prudhoe Bay,AK,70.3128,-148.6955
,Quinhagak,Quinhagak,AK,59.7511,-161.8993
,Rampart,Rampart,AK,65.4087,-149.9915
,Red Devil,Red Devil,AK,61.7735,-157.346
,Red Dog Mine,Red Dog Mine,AK,68.0645,-162.8667
,Ridgeway,Ridgeway,AK,60.5305,-151.0301
,Ruby,Ruby,AK,64.7233,-155.5006
,Russian Mission,Russian Mission,AK,61.7825,-161.3567
,Salamatof,Salamatof,AK,60.6154,-151.3159
,Salcha,Salcha,AK,64.5272,-146.904
,Sand Point,Sand Point,AK,55.3227,-160.4834
,Savoonga,Savoonga,AK,63.6797,-170.4831
,Saxman,Saxman,AK,55.3232,-131.589
,Scammon Bay,Scammon Bay,AK,61.842,-165.5833
,Selawik,Selawik,AK,66.5988,-159.9995
,Seldovia,Seldovia,AK,59.4396,-151.7111
,Seldovia Village,Seldovia Village,AK,59.453,-151.5905
,Seward,Seward,AK,60.1124,-149.3925
,Shageluk,Shageluk,AK,62.6684,-159.563
,Shaktoolik,Shaktoolik,AK,64.3567,-161.1972
,Shishmaref,Shishmaref,AK,66.2372,-166.1027
,Shungnak,Shungnak,AK,66.8805,-157.1499
,Silver Springs,Silver Springs,AK,62.0193,-145.3584
,Sitka,Sitka,AK,57.2401,-135.3153
,Skagway,Skagway,AK,59.4566,-135.2927
,Skwentna,Skwentna,AK,61.9314,-151.2096
,Sleetmute,Sleetmute,AK,61.6516,-157.1251
,Soldotna,Soldotna,AK,60.4862,-151.0672
,South Naknek,South Naknek,AK,58.6638,-156.9908
,South Van Horn,South Van Horn,AK,64.8091,-147.7855
,St. George,St. George,AK,56.5791,-169.6114
,St. Mary's,St. Mary's,AK,62.0718,-163.2805
,St. Michael,St. Michael,AK,63.4664,-162.1324
,St. Paul,St. Paul,AK,57.1815,-170.2743
,Stebbins,Stebbins,AK,63.4706,-162.2597
,Steele Creek,Steele Creek,AK,64.9295,-147.3955
,Sterling,Sterling,AK,60.5405,-150.8089
,Stevens Village,Stevens Village,AK,66.025,-149.0802
,Stony River,Stony River,AK,61.7936,-156.586
,Sunrise,Sunrise,AK,60.8701,-149.4678
,Susitna North,Susitna North,AK,62.1281,-149.8593
,Sutton-Alpine,Sutton-Alpine,AK,61.7429,-148.8542
,Takotna,Takotna,AK,62.9823,-156.0841
,Talkeetna,Talkeetna,AK,62.2753,-150.0814
,Tanacross,Tanacross,AK,63.3523,-143.4318
,Tanaina,Tanaina,AK,61.656,-149.4272
,Tanana,Tanana,AK,65.1746,-152.0686
,Tatitlek,Tatitlek,AK,60.8921,-146.6727
,Tazlina,Tazlina,AK,62.0536,-145.4362
,Teller,Teller,AK,65.2531,-166.342
,Tenakee Springs,Tenakee Springs,AK,57.7913,-135.1955
,Tetlin,Tetlin,AK,63.1481,-142.4947
